Date,Day,Month Name,Quarter,Year,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Month No,Stock Name
11-07-2025,Friday,July,Q3,2025,EQ,1512,1515,1490.3,1517.2,1495,1495.2,1496.06,3217.6,1114.85,7234991,10823982872,178490,7,Reliance
10-07-2025,Thursday,July,Q3,2025,EQ,1519.7,1524.7,1507.5,1519,1515.2,1517.2,1516.2,3217.6,1114.85,10047129,15233458376,289035,7,Reliance
09-07-2025,Wednesday,July,Q3,2025,EQ,1536.7,1551,1510.1,1537.6,1520.5,1519,1532.97,3217.6,1114.85,8870660,13598441339,254524,7,Reliance
08-07-2025,Tuesday,July,Q3,2025,EQ,1536,1544.9,1530.2,1541.5,1538,1537.6,1536.23,3217.6,1114.85,7171261,11016684352,191265,7,Reliance
07-07-2025,Monday,July,Q3,2025,EQ,1526.6,1544.8,1525,1527.3,1540.5,1541.5,1539.06,3217.6,1114.85,7251074,11159858746,205134,7,Reliance
04-07-2025,Friday,July,Q3,2025,EQ,1524,1530,1517.2,1517.8,1528.1,1527.3,1523.57,3217.6,1114.85,6603501,10060908691,167255,7,Reliance
03-07-2025,Thursday,July,Q3,2025,EQ,1520.8,1531.9,1513,1518.8,1515,1517.8,1520.57,3217.6,1114.85,11283291,17156979937,258008,7,Reliance
02-07-2025,Wednesday,July,Q3,2025,EQ,1528.4,1530,1508.7,1528.4,1517.1,1518.8,1518.29,3217.6,1114.85,6361002,9657844399,183873,7,Reliance
01-07-2025,Tuesday,July,Q3,2025,EQ,1500.6,1531.4,1500.1,1500.6,1526.8,1528.4,1522.95,3217.6,1114.85,10368523,15790750945,232573,7,Reliance
30-06-2025,Monday,June,Q2,2025,EQ,1513.8,1524.8,1496,1515.4,1499.9,1500.6,1509.28,3217.6,1114.85,8409527,12692329820,242195,6,Reliance
27-06-2025,Friday,June,Q2,2025,EQ,1499.4,1522,1496.9,1495.3,1514,1515.4,1511.99,3217.6,1114.85,11117052,16808908375,269877,6,Reliance
26-06-2025,Thursday,June,Q2,2025,EQ,1469.1,1498.8,1465.1,1467.3,1495.3,1495.3,1488.16,3217.6,1114.85,14657893,21813325246,247215,6,Reliance
25-06-2025,Wednesday,June,Q2,2025,EQ,1464,1472.4,1460.5,1450.8,1467.6,1467.3,1467.46,3217.6,1114.85,7525851,11043861535,197720,6,Reliance
24-06-2025,Tuesday,June,Q2,2025,EQ,1465,1475,1443.1,1456.8,1456.8,1450.8,1456.68,3217.6,1114.85,16402744,23893522923,284313,6,Reliance
23-06-2025,Monday,June,Q2,2025,EQ,1453,1463.8,1442,1466.2,1456,1456.8,1453.48,3217.6,1114.85,5989078,8705005212,226309,6,Reliance
20-06-2025,Friday,June,Q2,2025,EQ,1431,1471,1428.1,1433.3,1464.1,1466.2,1462.68,3217.6,1114.85,29010635,42433300496,276278,6,Reliance
19-06-2025,Thursday,June,Q2,2025,EQ,1430.1,1439.9,1425.7,1430.1,1428,1433.3,1433.8,3217.6,1114.85,10007230,14348370218,179473,6,Reliance
18-06-2025,Wednesday,June,Q2,2025,EQ,1430,1442.8,1425.7,1431.2,1429.7,1430.1,1431.31,3217.6,1114.85,6681735,9563629434,138211,6,Reliance
17-06-2025,Tuesday,June,Q2,2025,EQ,1448,1448,1425.8,1437.8,1430,1431.2,1432.15,3217.6,1114.85,10366599,14846517402,191173,6,Reliance
16-06-2025,Monday,June,Q2,2025,EQ,1426.9,1442.4,1424.4,1427.9,1436.9,1437.8,1436.42,3217.6,1114.85,8458093,12149412491,213623,6,Reliance
13-06-2025,Friday,June,Q2,2025,EQ,1424,1435.5,1414.3,1441.6,1427.5,1427.9,1423.95,3217.6,1114.85,9757276,13893905321,202256,6,Reliance
12-06-2025,Thursday,June,Q2,2025,EQ,1453.5,1457,1434.4,1448.9,1439.5,1441.6,1444.32,3217.6,1114.85,8828114,12750612321,190194,6,Reliance
11-06-2025,Wednesday,June,Q2,2025,EQ,1445.8,1468.6,1443.1,1438.5,1448,1448.9,1456.11,3217.6,1114.85,8195700,11933850943,184593,6,Reliance
10-06-2025,Tuesday,June,Q2,2025,EQ,1450,1453.9,1436,1448.8,1437.3,1438.5,1442.59,3217.6,1114.85,7913181,11415476581,167203,6,Reliance
09-06-2025,Monday,June,Q2,2025,EQ,1457,1457.5,1445.3,1443.5,1447.2,1448.8,1449.95,3217.6,1114.85,7885125,11433033632,159916,6,Reliance
06-06-2025,Friday,June,Q2,2025,EQ,1441,1451.5,1437,1442.4,1443,1443.5,1444.22,3217.6,1114.85,8182161,11816875426,179734,6,Reliance
05-06-2025,Thursday,June,Q2,2025,EQ,1428,1454.7,1423.6,1423.5,1442.7,1442.4,1442.72,3217.6,1114.85,13716817,19789468217,304069,6,Reliance
04-06-2025,Wednesday,June,Q2,2025,EQ,1414.7,1425.7,1406.1,1405.5,1421,1423.5,1415.78,3217.6,1114.85,8126827,11505806731,152064,6,Reliance
03-06-2025,Tuesday,June,Q2,2025,EQ,1422.3,1426.5,1403.4,1413.7,1405.4,1405.5,1412.34,3217.6,1114.85,11252626,15892572174,230110,6,Reliance
02-06-2025,Monday,June,Q2,2025,EQ,1412.1,1417.5,1395.6,1420.9,1412.6,1413.7,1407.75,3217.6,1114.85,8098668,11400864785,189977,6,Reliance
30-05-2025,Friday,May,Q2,2025,EQ,1418,1430.6,1409.7,1417.8,1417.9,1420.9,1419.89,3217.6,1114.85,13788484,19578154095,155127,5,Reliance
29-05-2025,Thursday,May,Q2,2025,EQ,1412.1,1420,1408.6,1412.9,1419.5,1417.8,1414.72,3217.6,1114.85,13771917,19483424682,265116,5,Reliance
28-05-2025,Wednesday,May,Q2,2025,EQ,1420.1,1422.6,1410.7,1422.1,1412.8,1412.9,1414.99,3217.6,1114.85,5944611,8411575746,169185,5,Reliance
27-05-2025,Tuesday,May,Q2,2025,EQ,1426.1,1437,1413.9,1434.8,1424.2,1422.1,1421.81,3217.6,1114.85,12640414,17972211282,211047,5,Reliance
26-05-2025,Monday,May,Q2,2025,EQ,1432,1441,1425.1,1426.8,1435.9,1434.8,1437.16,3217.6,1114.85,4842944,6960105851,171837,5,Reliance
23-05-2025,Friday,May,Q2,2025,EQ,1406.6,1433.8,1406.6,1409.4,1426,1426.8,1424.63,3217.6,1114.85,6474883,9224312173,135371,5,Reliance
22-05-2025,Thursday,May,Q2,2025,EQ,1421.2,1423.8,1396.9,1429.2,1411.5,1409.4,1406.85,3217.6,1114.85,12134466,17071402012,228031,5,Reliance
21-05-2025,Wednesday,May,Q2,2025,EQ,1423.9,1436.2,1418.1,1424.6,1428.2,1429.2,1427.75,3217.6,1114.85,6136364,8761209046,232529,5,Reliance
20-05-2025,Tuesday,May,Q2,2025,EQ,1438.2,1445,1421.8,1440.8,1424.5,1424.6,1429.91,3217.6,1114.85,11270560,16115906328,182531,5,Reliance
19-05-2025,Monday,May,Q2,2025,EQ,1452.1,1454.6,1438.2,1456.4,1442.9,1440.8,1443.67,3217.6,1114.85,6195791,8944705922,144606,5,Reliance
16-05-2025,Friday,May,Q2,2025,EQ,1453.2,1461,1447.3,1454.2,1454.8,1456.4,1455.16,3217.6,1114.85,9036695,13149797875,196322,5,Reliance
15-05-2025,Thursday,May,Q2,2025,EQ,1425,1461.4,1412.7,1424.4,1453,1454.2,1441.41,3217.6,1114.85,20177211,29083683835,314261,5,Reliance
14-05-2025,Wednesday,May,Q2,2025,EQ,1420,1429.9,1415.5,1415.7,1425.2,1424.4,1423.31,3217.6,1114.85,5570160,7928045615,145014,5,Reliance
13-05-2025,Tuesday,May,Q2,2025,EQ,1433.5,1447.7,1412.4,1436.5,1416.5,1415.7,1423.23,3217.6,1114.85,11407896,16236102679,281992,5,Reliance
12-05-2025,Monday,May,Q2,2025,EQ,1400,1439,1400,1377.2,1436.9,1436.5,1426.35,3217.6,1114.85,10674081,15224970251,310602,5,Reliance
09-05-2025,Friday,May,Q2,2025,EQ,1385.5,1394.8,1374.5,1407,1379.5,1377.2,1382.39,3217.6,1114.85,13668904,18895751340,388013,5,Reliance
08-05-2025,Thursday,May,Q2,2025,EQ,1404.1,1420.8,1398,1406,1398,1407,1410.51,3217.6,1114.85,16106175,22717878064,231342,5,Reliance
07-05-2025,Wednesday,May,Q2,2025,EQ,1420.9,1424.4,1402.7,1420.9,1405.9,1406,1412.79,3217.6,1114.85,13440169,18988126278,222903,5,Reliance
06-05-2025,Tuesday,May,Q2,2025,EQ,1431,1432,1410.6,1431.3,1418,1420.9,1419.01,3217.6,1114.85,14084117,19985559677,226761,5,Reliance
05-05-2025,Monday,May,Q2,2025,EQ,1431,1439.5,1426.9,1422.4,1430,1431.3,1432,3217.6,1114.85,12685649,18165843553,204503,5,Reliance
02-05-2025,Friday,May,Q2,2025,EQ,1414,1426.7,1409.1,1405,1422.5,1422.4,1419.65,3217.6,1114.85,17535402,24894140200,378385,5,Reliance
30-04-2025,Wednesday,April,Q2,2025,EQ,1402,1412.4,1369,1399.7,1395,1405,1404.87,3217.6,1114.85,25480745,35797220282,598769,4,Reliance
29-04-2025,Tuesday,April,Q2,2025,EQ,1371,1410.9,1370,1368.8,1398.9,1399.7,1395.77,3217.6,1114.85,32538970,45417061105,680195,4,Reliance
28-04-2025,Monday,April,Q2,2025,EQ,1340,1374.6,1320.2,1300.4,1366.3,1368.8,1355.02,3217.6,1114.85,31104496,42147123069,893347,4,Reliance
25-04-2025,Friday,April,Q2,2025,EQ,1303.5,1325.2,1288.1,1301.6,1301,1300.4,1303.3,3217.6,1114.85,14431012,18807907515,307093,4,Reliance
24-04-2025,Thursday,April,Q2,2025,EQ,1292.4,1304.5,1290.3,1300,1303.5,1301.6,1298.32,3217.6,1114.85,10468940,13592084385,181309,4,Reliance
23-04-2025,Wednesday,April,Q2,2025,EQ,1297,1306,1285.4,1291.2,1297,1300,1297.08,3217.6,1114.85,10480888,13594597555,232149,4,Reliance
22-04-2025,Tuesday,April,Q2,2025,EQ,1300,1303.9,1286.3,1295.5,1289,1291.2,1295.99,3217.6,1114.85,13051707,16914900850,229331,4,Reliance
21-04-2025,Monday,April,Q2,2025,EQ,1270,1300.9,1267,1274.5,1295.2,1295.5,1291.47,3217.6,1114.85,10429964,13469949890,257857,4,Reliance
17-04-2025,Thursday,April,Q2,2025,EQ,1240.2,1280.2,1227.6,1239.3,1273,1274.5,1260.38,3217.6,1114.85,15398401,19407871411,321235,4,Reliance
16-04-2025,Wednesday,April,Q2,2025,EQ,1234.1,1240.9,1229,1240.1,1238,1239.3,1235.61,3217.6,1114.85,8248464,10191864642,164065,4,Reliance
15-04-2025,Tuesday,April,Q2,2025,EQ,1251,1251,1237.1,1218.95,1239.6,1240.1,1242.83,3217.6,1114.85,13378535,16627177949,199888,4,Reliance
11-04-2025,Friday,April,Q2,2025,EQ,1195.15,1222.65,1195.15,1185.35,1220,1218.95,1214.05,3217.6,1114.85,11224242,13626831086,187059,4,Reliance
09-04-2025,Wednesday,April,Q2,2025,EQ,1169.5,1189.8,1168,1182.2,1187.5,1185.35,1183.08,3217.6,1114.85,10223104,12094749463,193325,4,Reliance
08-04-2025,Tuesday,April,Q2,2025,EQ,1172,1196.6,1163.3,1165.7,1181.05,1182.2,1179.5,3217.6,1114.85,19555040,23065209423,314171,4,Reliance
07-04-2025,Monday,April,Q2,2025,EQ,1132.2,1171.25,1114.85,1204.7,1171.25,1165.7,1150.54,3217.6,1114.85,22156106,25491501839,677564,4,Reliance
04-04-2025,Friday,April,Q2,2025,EQ,1241.1,1245.45,1193.15,1248.7,1205.9,1204.7,1206.62,3217.6,1156,17908652,21608977995,542347,4,Reliance
03-04-2025,Thursday,April,Q2,2025,EQ,1233.05,1251.8,1233.05,1251.15,1248.5,1248.7,1246.31,3217.6,1156,7434366,9265530671,146316,4,Reliance
02-04-2025,Wednesday,April,Q2,2025,EQ,1247.55,1255.55,1243.9,1252.6,1252,1251.15,1251.04,3217.6,1156,10142590,12688802512,177979,4,Reliance
01-04-2025,Tuesday,April,Q2,2025,EQ,1264.6,1277.9,1249.3,1275.1,1254,1252.6,1260.72,3217.6,1156,12099648,15254261047,260862,4,Reliance
28-03-2025,Friday,March,Q1,2025,EQ,1280,1295.75,1269,1278.2,1274,1275.1,1278.15,3217.6,1156,18147129,23194774031,265113,3,Reliance
27-03-2025,Thursday,March,Q1,2025,EQ,1278.15,1285,1271.3,1273.05,1280,1278.2,1278.9,3217.6,1156,15028056,19219399903,224828,3,Reliance
26-03-2025,Wednesday,March,Q1,2025,EQ,1291,1293.8,1268.75,1285.45,1270.9,1273.05,1279.04,3217.6,1156,12074747,15444062345,292138,3,Reliance
25-03-2025,Tuesday,March,Q1,2025,EQ,1307.7,1307.7,1282.6,1302.1,1285.25,1285.45,1290.63,3217.6,1156,13713899,17699568390,271251,3,Reliance
24-03-2025,Monday,March,Q1,2025,EQ,1291,1306,1284.25,1276.35,1302.65,1302.1,1297.38,3217.6,1156,20299319,26335901171,347056,3,Reliance
21-03-2025,Friday,March,Q1,2025,EQ,1275,1281,1270.1,1269.15,1277.5,1276.35,1276.34,3217.6,1156,21780769,27799653516,230001,3,Reliance
20-03-2025,Thursday,March,Q1,2025,EQ,1251.85,1273,1250.05,1247.15,1268.2,1269.15,1262.54,3217.6,1156,15971477,20164561988,219527,3,Reliance
19-03-2025,Wednesday,March,Q1,2025,EQ,1241.05,1253.25,1238.8,1238.8,1248,1247.15,1247.22,3217.6,1156,16162399,20158006341,217782,3,Reliance
18-03-2025,Tuesday,March,Q1,2025,EQ,1244.7,1248.35,1235,1238.85,1239.95,1238.8,1238.98,3217.6,1156,15745877,19508893455,312315,3,Reliance
17-03-2025,Monday,March,Q1,2025,EQ,1242.15,1257.4,1233.1,1247.9,1241.55,1238.85,1239.76,3217.6,1156,16640952,20630843725,269824,3,Reliance
13-03-2025,Thursday,March,Q1,2025,EQ,1260.05,1264.15,1243.85,1257.05,1246.65,1247.9,1254.23,3217.6,1156,9505270,11921766654,194588,3,Reliance
12-03-2025,Wednesday,March,Q1,2025,EQ,1258,1263,1244,1247.3,1255.95,1257.05,1252.97,3217.6,1156,11977555,15007514669,161536,3,Reliance
11-03-2025,Tuesday,March,Q1,2025,EQ,1240,1249.5,1229.75,1238.4,1247.25,1247.3,1241.71,3217.6,1156,10089838,12528623904,155065,3,Reliance
10-03-2025,Monday,March,Q1,2025,EQ,1245,1258,1235.4,1249.8,1237.7,1238.4,1245.85,3217.6,1156,11931051,14864340066,288299,3,Reliance
07-03-2025,Friday,March,Q1,2025,EQ,1216,1254.8,1212,1209.6,1246.4,1249.8,1243.95,3217.6,1156,16474965,20494065097,424924,3,Reliance
06-03-2025,Thursday,March,Q1,2025,EQ,1197,1213.95,1185.15,1175.6,1211.5,1209.6,1199.05,3217.6,1156,14468014,17347917723,250467,3,Reliance
05-03-2025,Wednesday,March,Q1,2025,EQ,1161,1183,1157,1161.9,1177.15,1175.6,1173.4,3217.6,1156,8664095,10166451493,196774,3,Reliance
04-03-2025,Tuesday,March,Q1,2025,EQ,1162.2,1174,1159.55,1171.25,1160.45,1161.9,1164.92,3217.6,1156,11377373,13253711939,275459,3,Reliance
03-03-2025,Monday,March,Q1,2025,EQ,1204,1206.45,1156,1200.1,1174,1171.25,1168.57,3217.6,1156,17944938,20969945819,682013,3,Reliance
28-02-2025,Friday,February,Q1,2025,EQ,1202,1217.35,1193.3,1207.1,1198,1200.1,1205.62,3217.6,1193.3,23007298,27738125738,355378,2,Reliance
27-02-2025,Thursday,February,Q1,2025,EQ,1212.8,1215,1200.65,1204,1208,1207.1,1206.31,3217.6,1193.35,11509215,13883637029,236188,2,Reliance
25-02-2025,Tuesday,February,Q1,2025,EQ,1211,1221,1201.5,1214.55,1202,1204,1209.6,3217.6,1193.35,11552182,13973492940,213192,2,Reliance
24-02-2025,Monday,February,Q1,2025,EQ,1216.55,1223.25,1210.5,1228.15,1215,1214.55,1215.9,3217.6,1193.35,7172498,8721021715,200264,2,Reliance
21-02-2025,Friday,February,Q1,2025,EQ,1228.7,1240,1222.15,1233,1226.9,1228.15,1231.37,3217.6,1193.35,6904025,8501382498,213824,2,Reliance
20-02-2025,Thursday,February,Q1,2025,EQ,1223.95,1239.35,1222,1227.45,1232,1233,1233.94,3217.6,1193.35,7795582,9619277167,162561,2,Reliance
19-02-2025,Wednesday,February,Q1,2025,EQ,1219.5,1232.75,1217.55,1225.4,1226.3,1227.45,1226.67,3217.6,1193.35,6217338,7626601753,178165,2,Reliance
18-02-2025,Tuesday,February,Q1,2025,EQ,1224.85,1229.9,1216.1,1224.9,1223.95,1225.4,1223.94,3217.6,1193.35,6673250,8167661854,181273,2,Reliance
17-02-2025,Monday,February,Q1,2025,EQ,1211.1,1227.5,1204.5,1217.25,1225.45,1224.9,1219.62,3217.6,1193.35,8166683,9960241447,220670,2,Reliance
14-02-2025,Friday,February,Q1,2025,EQ,1219,1224,1205.45,1216.1,1214.75,1217.25,1215.1,3217.6,1193.35,10298145,12513277267,202314,2,Reliance
13-02-2025,Thursday,February,Q1,2025,EQ,1217.05,1228,1212,1216.55,1216.2,1216.1,1219.6,3217.6,1193.35,8511216,10380276762,266249,2,Reliance
12-02-2025,Wednesday,February,Q1,2025,EQ,1219.45,1226.9,1193.35,1234.85,1217.05,1216.55,1211.39,3217.6,1193.35,21131654,25598619531,404276,2,Reliance
11-02-2025,Tuesday,February,Q1,2025,EQ,1264.55,1264.55,1230.1,1253.65,1237.55,1234.85,1244.26,3217.6,1201.5,8859714,11023757523,240683,2,Reliance
10-02-2025,Monday,February,Q1,2025,EQ,1264.5,1266.5,1245.55,1266.7,1254.65,1253.65,1251.52,3217.6,1201.5,6970972,8724286361,173316,2,Reliance
07-02-2025,Friday,February,Q1,2025,EQ,1276.15,1283.7,1262,1281.55,1266.5,1266.7,1270.98,3217.6,1201.5,8764283,11139240963,174531,2,Reliance
06-02-2025,Thursday,February,Q1,2025,EQ,1273.7,1288,1270.35,1278.2,1283,1281.55,1279.27,3217.6,1201.5,9956001,12736385821,217888,2,Reliance
05-02-2025,Wednesday,February,Q1,2025,EQ,1282.65,1290.5,1276.7,1285.2,1278.5,1278.2,1281.97,3217.6,1201.5,10112028,12963336513,219550,2,Reliance
04-02-2025,Tuesday,February,Q1,2025,EQ,1248.05,1288.8,1246.6,1245.9,1282.9,1285.2,1273.65,3217.6,1201.5,16691069,21258496965,323415,2,Reliance
03-02-2025,Monday,February,Q1,2025,EQ,1251,1256,1237.55,1264.6,1247,1245.9,1247.14,3217.6,1201.5,9252345,11538963041,268425,2,Reliance
01-02-2025,Saturday,February,Q1,2025,EQ,1265.1,1270.55,1241,1265.1,1264,1264.6,1260.42,3217.6,1201.5,7118453,8972248877,143258,2,Reliance
31-01-2025,Friday,January,Q1,2025,EQ,1255.85,1267,1249,1253.05,1266,1265.1,1261.32,3217.6,1201.5,6584612,8305291978,169481,1,Reliance
30-01-2025,Thursday,January,Q1,2025,EQ,1235.55,1257,1232.4,1235.5,1253.15,1253.05,1249.15,3217.6,1201.5,9269259,11578693153,227871,1,Reliance
29-01-2025,Wednesday,January,Q1,2025,EQ,1236,1242.75,1228.05,1234.4,1237.25,1235.5,1236.66,3217.6,1201.5,5928156,7331119896,167073,1,Reliance
28-01-2025,Tuesday,January,Q1,2025,EQ,1238,1244.75,1218.5,1229.35,1235,1234.4,1232.65,3217.6,1201.5,10568025,13026673067,286863,1,Reliance
27-01-2025,Monday,January,Q1,2025,EQ,1239.1,1240.45,1220,1246.3,1229,1229.35,1229.35,3217.6,1201.5,9536019,11723127884,368025,1,Reliance
24-01-2025,Friday,January,Q1,2025,EQ,1266,1273,1243.5,1263.65,1244.45,1246.3,1252.27,3217.6,1201.5,14235970,17827272395,263461,1,Reliance
23-01-2025,Thursday,January,Q1,2025,EQ,1270,1277.35,1261.6,1277.1,1264.9,1263.65,1267.52,3217.6,1201.5,8720682,11053624693,188421,1,Reliance
22-01-2025,Wednesday,January,Q1,2025,EQ,1278.3,1282.9,1268.7,1273.7,1278,1277.1,1276.09,3217.6,1201.5,10273590,13110004095,239816,1,Reliance
21-01-2025,Tuesday,January,Q1,2025,EQ,1310.5,1313,1270.2,1305.45,1277.6,1273.7,1284.79,3217.6,1201.5,14562976,18710366859,325783,1,Reliance
20-01-2025,Monday,January,Q1,2025,EQ,1316,1316,1300.25,1302.35,1304,1305.45,1307.82,3217.6,1201.5,14040244,18362047247,280553,1,Reliance
17-01-2025,Friday,January,Q1,2025,EQ,1322.25,1326,1285,1266.45,1300,1302.35,1300.8,3217.6,1201.5,29366277,38199728794,594018,1,Reliance
16-01-2025,Thursday,January,Q1,2025,EQ,1258.9,1275,1251.3,1252.2,1275,1266.45,1262.86,3217.6,1201.5,14117603,17828486686,207451,1,Reliance
15-01-2025,Wednesday,January,Q1,2025,EQ,1244.95,1257,1241.85,1238.75,1252,1252.2,1250.11,3217.6,1201.5,9578856,11974600753,220174,1,Reliance
14-01-2025,Tuesday,January,Q1,2025,EQ,1244.1,1253.35,1227.25,1239.85,1239,1238.75,1236.46,3217.6,1201.5,13095266,16191765836,278977,1,Reliance
13-01-2025,Monday,January,Q1,2025,EQ,1230,1245.25,1226.4,1241.9,1240.75,1239.85,1238.1,3217.6,1201.5,13764861,17042274860,398257,1,Reliance
10-01-2025,Friday,January,Q1,2025,EQ,1253.85,1256.75,1236,1254.75,1245.55,1241.9,1245.97,3217.6,1201.5,8120332,10117685548,340024,1,Reliance
